name,kind,director,country,year,imdb_rating
Четыре,Драматический фильм,"Хржановский, Илья Андреевич","Россия,Нидерланды",2004,N/A
3 ночи в пустыне,Драма (жанр),"Коуэн, Гэбриэль (страница отсутствует),en:Gabriel Cowan",Соединённые Штаты Америки,2014,7.1
1+1: Голливудская история,Комедийная драма,"Бёргер, Нил",Соединённые Штаты Америки,2017,7.9
2pac: Легенда,"Фильм-биография,Драма (жанр),Боевик (киножанр)",,Соединённые Штаты Америки,2017,7.3
2-Асса-2,Драма (жанр),"Соловьёв, Сергей Александрович (кинорежиссёр)",Россия,2008,N/A
40,"Детективный фильм,Триллер","Галибин, Александр Владимирович",Россия,2007,6.5
40 дней и 40 ночей,Кинокомедия,Майкл Леманн,США,2002,N/A
2 секунды,Комедия,Манон Брайан,Кинематограф Канады,1998,8.6
38-я параллель,"Драма (жанр),Боевик (жанр),Военный",Кан Джегю,Республика Корея,2004,7.0
42 / Номер 42,"Драма (жанр),Спортивный фильм",Брайан Хелгеленд,Соединённые Штаты Америки,12 апреля,N/A
3 идиота,"Комедия,Драма (жанр)","Хирани, Раджкумар",Индия,2009,7.1
42-я улица,"Кинокомедия,Мюзикл,Мелодрама","Ллойд Бэкон,Беркли, Басби",Соединённые Штаты Америки,1933,7.5
Авиценна,"Биографический фильм,Исторический фильм",Камиль Ярматов,Кинематограф СССР,1956,N/A
Авраам: Хранитель веры,Драма (жанр),"Сарджент, Джозеф","Соединённые Штаты Америки,Италия,Великобритания",1994,N/A
34-й скорый,"Фильм-катастрофа,Приключенческий фильм,Драматический фильм","Малюков, Андрей Игоревич",Кинематограф СССР,1981,7.0
"Авива, любовь моя",Драматический фильм,d:Q16130513,Израиль,2006,N/A
"Авель, твой брат","Психология,Драма (жанр)","Насфетер, Януш",Польша,1970,N/A
Авиатор,"Фильм-биография,Драма (жанр)","Скорсезе, Мартин","Кинематограф США,Германия",2004,N/A
39-я бригада,,"Макк, Карой","Флаг Венгрии,Венгрия",1959,6.2
Алая буква,Драма (жанр),"Шёстрём, Виктор",Соединённые Штаты Америки,1926,N/A
1+1,"Комедийная драма,Бадди-муви","Накаш, Оливье,Толедано, Эрик",Франция,2011,3.7
01-99,,"Мартиросян, Амасий Петрович",Союз Советских Социалистических Республик,1959,8.0
Авиапочта,"Мелодрама,Приключенческий фильм",Ирвин Виллат (страница отсутствует),Соединённые Штаты Америки,1925,N/A
2:37,Драматический фильм,"d:Q3328027,d:Q221992",Австралия,2006,6.8
Аланис,Драматический фильм,d:Q484261,Аргентина,21 сентября,N/A
Штурмующие,"Драма (жанр),Боевик (киножанр)","Кеннеди, Берт",Соединённые Штаты Америки,1987,N/A
Американский пирог,Кинокомедия,,Кинематограф США,1999,N/A
Американский пирог 2,Кинокомедия,Джеймс Роджерс (страница отсутствует),Соединённые Штаты Америки,2001,8.6
